세키노미야 역(일본어 ?ノ宮?)은 일본 <e1>미에현</e1>  <e2>쓰 시</e2> 에 위치한 도카이_여객철도 메이쇼 선의 철도역이다. ,DUMMY
세키노미야 역(일본어 ?ノ宮?)은 일본 <e2>미에현</e2>  <e1>쓰 시</e1> 에 위치한 도카이_여객철도 메이쇼 선의 철도역이다. ,DUMMY
<e1>대한민국김치협회</e1>는 대한민국의 전통적인 김치를 과학화하고 현대화하여 품질을 향상 시키고 세계화시키며 김치종주국으로서의 대한민국의 위상을 굳건히 하며 김치산업 진흥을 통하여 국가경제에 기여할 목적으로 2012년 1월 11일 설립된 대한민국_농림수산식품부 소관의 <e2>사단법인</e2>이다. ,DUMMY
 <e1>소수초등학교</e1> 는 충청북도 괴산군 소수면 수리에 있는 공립 <e2>초등학교</e2> 이다. ,DUMMY
"2007년 12월 14일 <e2>이탈리아</e2> <e1>토리노</e1>에서 열린 피겨_스케이팅_그랑프리_파이널에서 김연아는 쇼트_프로그램 64.62점으로 1위, 프리_스케이팅 132.21점으로 2위를 차지하여 합계 196.83점으로 총점 191.59점을 획득한 아사다_마오를 5.24점 차로 제치고 2006년에 이어 대회 2연패를 달성하였다. ",DUMMY
"<e1>셸레프테오</e1> (스웨덴어; Skellefte?)는 스웨덴 <e2>베스테르보텐</e2> 주에 위치한 도시로, 면적은 21.74km2, 인구는 32,775명(2010년 기준), 인구 밀도는 1,507명/km2이다. ",DUMMY
"<e1>세자르 프랑크</e1> (프랑스어; C?sar Franck, 1822년 12월 10일 ~ 1890년 11월 8일)는 <e2>벨기에</e2>  출신의 프랑스 작곡가이자 오르가니스트이다. ",DUMMY
<e1>세정중학교</e1> (世正中學校)는 경기도 여주시 능서면 능서면에 있는 사립 <e2>중학교</e2> 이다. ,DUMMY
<e1>소데사키 역</e1> (일본어; 袖崎?)은 일본 야마가타현 <e2>무라야마 시</e2> 에 위치한 동일본 여객철도 오우_본선의 철도역이다. ,DUMMY
"<e1>성승</e1>은 조선 전기의 <e2>무신</e2>, 군인이며 조선_단종 복위 운동의 가담자의 한사람이다. ",DUMMY
"<e1>성승</e1>은 조선 전기의 무신, <e2>군인</e2>이며 조선_단종 복위 운동의 가담자의 한사람이다. ",DUMMY
"<e1>성승</e1>은 조선 전기의 무신, 군인이며 조선_<e2>단종</e2> 복위 운동의 가담자의 한사람이다. ",DUMMY
"<e1>성승</e1>은 조선 전기의 <e2>무신</e2>, 군인이며 조선_단종 복위 운동의 가담자의 한사람이다. ",DUMMY
"<e1>성승</e1>은 조선 전기의 무신, <e2>군인</e2>이며 조선_단종 복위 운동의 가담자의 한사람이다. ",DUMMY
"<e1>성승</e1>은 <e2>조선</e2> 전기의 무신, 군인이며 조선_단종 복위 운동의 가담자의 한사람이다. ",DUMMY
<e1>세르동</e1> (Cerdon)은 <e2>프랑스</e2> 오베르뉴론알프 앵주의 프랑스의_코뮌이다. ,DUMMY
세르동 (Cerdon)은 <e2>프랑스</e2> <e1>오베르뉴론알프</e1> 앵주의 프랑스의_코뮌이다. ,DUMMY
세르동 (Cerdon)은 <e2>프랑스</e2> 오베르뉴론알프 앵주의 프랑스의_<e1>코뮌이다. </e1>,DUMMY
세르동 (Cerdon)은 <e2>프랑스</e2> <e1>오베르뉴론알프</e1> 앵주의 프랑스의_코뮌이다. ,DUMMY
<e1>세토세 역</e1> (일본어 ????)은 일본 홋카이도 몬베쓰_군 <e2>엔가루 정</e2> 에 위치한 홋카이도 여객철도 세키호쿠_본선의 철도역이다. ,DUMMY
"세인트애서프는 영국 <e2>웨일스</e2>  <e1>덴비셔</e1> 에 위치한 도시로 인구는 3,355명(2015년 기준)이다. ",DUMMY
<e1>성황신 김총 영정</e1>(城隍神 金摠 影幀)은 전라남도 순천시_(전라남도) 주암면 <e2>주암리</e2>에 있는 영정이다. ,DUMMY
<e1>성황신 김총 영정</e1>(城隍神 金摠 影幀)은 전라남도 순천시_(전라남도) 주암면 주암리에 있는 <e2>영정이</e2>다. ,DUMMY
<e1>성황신 김총 영정</e1>(城隍神 金摠 影幀)은 전라남도 순천시_(전라남도) 주암면 주암리에 있는 <e2>영정이</e2>다. ,DUMMY
<e1>성황신 김총 영정</e1>(城隍神 金摠 影幀)은 전라남도 순천시_(전라남도) 주암면 주암리에 있는 <e2>영정</e2>이다. ,DUMMY
"<e1>세르지</e1>(프랑스어; Cergy)는 <e2>프랑스</e2> 일드프랑스 발두아즈주에 위치한 도시로 면적은 11.68km2, 인구는 58,265명(2006년 기준), 인구 밀도는 5,000명/km2이다. ",DUMMY
"<e1>세르지</e1>(프랑스어; Cergy)는 프랑스 일드프랑<e2>스 발</e2>두아즈주에 위치한 도시로 면적은 11.68km2, 인구는 58,265명(2006년 기준), 인구 밀도는 5,000명/km2이다. ",DUMMY
"<e1>세르지</e1>(프랑스어; Cergy)는 프랑스 일드프랑<e2>스 발</e2>두아즈주에 위치한 도시로 면적은 11.68km2, 인구는 58,265명(2006년 기준), 인구 밀도는 5,000명/km2이다. ",DUMMY
"세르지(프랑스어<e1>; C</e1>ergy)는 <e2>프랑스</e2> 일드프랑스 발두아즈주에 위치한 도시로 면적은 11.68km2, 인구는 58,265명(2006년 기준), 인구 밀도는 5,000명/km2이다. ",DUMMY
