"﻿22일 [영국] <e2>맨체스터</e2>시 <e1>맨체스터 아레나</e1>에서 자폭 테러로 의심되는 [1993년_세계_무역_센터_폭탄_테러]가 발생하면서 [유럽]이 다시 한번 테러 공포에 떨고 있다.",DUMMY
"<e2>삼성전자</e2>가 '갤럭시노트7' [조선_단종] 여파로 [애플_(기업)]에 글로벌 <e1>스마트폰</e1> 시장 점유율 1위 자리를 내줬다.",DUMMY
"<e2>얼굴</e2>을 살펴보면 [코] 위쪽으로 [뇌] 앞부분까지 연결된 <e1>후각신경</e1>이 있습니다.",DUMMY
"<e1>미셰우 테메르</e1> <e2>브라질</e2> [대통령]이 측근 [정치가]의 [입]을 막기 위해 뇌물 공여를 눈감아줬다는 사실이 알려지면서 [브라질]은 1년만에 또다시 탄핵 정국에 빠졌다.",DUMMY
"<e1>신동빈</e1> [롯데그룹] <e2>회장</e2>이 일본롯데홀딩스 [이사_(법인)]직에서 사임하면 한국롯데에 대한 일본롯데의 경영 간섭이 불가피하다는 관측이 나온다.",DUMMY
"[프란치스코] [교황]은 이날 [저녁] <e2>로마</e2> <e1>콜로세움</e1> 인근에서 [순례]들과 함께 '[십자가]의 길' 행사를 마친 뒤 묵상기도를 통해 이같이 개탄했다고 AP·AFP통신 등이 전했다.",DUMMY
"21일 <e1>서울</e1> <e2>송파구</e2> 현대시티몰 가든파이브점 플러스샵([현대홈쇼핑] 오프라인 매장)에서 [직원]들이 [현대홈쇼핑]의 자체 패션 브랜드 ‘밀라노 스토리’ 제품을 소개하고 있다.",DUMMY
"21일 <e2>서울</e2> <e1>송파구</e1> 현대시티몰 가든파이브점 플러스샵([현대홈쇼핑] 오프라인 매장)에서 [직원]들이 [현대홈쇼핑]의 자체 패션 브랜드 ‘밀라노 스토리’ 제품을 소개하고 있다.",DUMMY
"[삼성그룹]이 <e1>최순실</e1>씨(61)의 딸 <e2>정유라</e2>씨(21)만을 지원하기 위해 비덱스포츠와 계약했다는 구체적인 정황이 법정에서 제시됐다.",DUMMY
"2일 [기자_(직업)]회견을 통해 탈당을 선언한 <e2>바른정당</e2> <e1>황영철</e1> [의원]이 탈당계를 내지 않고 일단 보류시킨 것으로 확인됐다.",DUMMY
"[삼성그룹]이 <e2>최순실</e2>씨(61)의 딸 <e1>정유라</e1>씨(21)만을 지원하기 위해 비덱스포츠와 계약했다는 구체적인 정황이 법정에서 제시됐다.",DUMMY
"<e1>김태한</e1> [삼성바이오로직스] <e2>사장</e2>과 [고한승] [삼성바이오에피스] [사장]은 각각 2011년과 2012년 회사 창립 당시 [이사_(법인)]로 취임, 지금껏 회사를 이끌고 있다.",DUMMY
"<e1>마이크로소프트</e1>의 공동 [창업자]로 [억만장자] 반열에 오른 <e2>빌 게이츠</e2>가 20대 젊은이들에게 추천하는 유망 분야로 인공지능(AI)과 에너지, [생명공학기술]을 꼽았다.",DUMMY
"16일 치러진 <e1>더불어민주당</e1> 원내대표 선거에서 기호 2번 <e2>우원식</e2> [후보]가 당선됐다.",DUMMY
"반면 <e2>안철수</e2> <e1>바른미래당</e1> [대표]가 창업한 [안랩](053800)은 전날 대비 0.88% 하락한 7만8400원에 거래 중이다.",DUMMY
"문재인 [정부] 들어서 재계를 대표하는 목소리를 적극적으로 내온 <e1>박용만</e1> [대한상공회의소] <e2>회장</e2>이 연임을 [데_팍토] 확정 지었다.",DUMMY
"[박_(불교)] [대변인]은 이날 <e2>청와대</e2> <e1>춘추관</e1>에서 공식 임명 발표 직후 ""건조한 소통에만 의지하지 않고 따뜻한 소통이 되도록 노력하겠다""며 이같이 밝혔다.",DUMMY
"16일 치러진 <e2>더불어민주당</e2> 원내대표 선거에서 기호 2번 <e1>우원식</e1> [후보]가 당선됐다.",DUMMY
"<e1>우원식</e1> 신임 원내대표는 지난해 <e2>우상호</e2> [전_(불교)] [원내대표]에게 7표차로 진 후 재수 끝에 이번 선거에서 7표차로 상대 [후보]를 이겼다.",DUMMY
"<e1>미셰우 테메르</e1> [브라질] <e2>대통령</e2>이 측근 [정치가]의 [입]을 막기 위해 뇌물 공여를 눈감아줬다는 사실이 알려지면서 [브라질]은 1년만에 또다시 탄핵 정국에 빠졌다.",DUMMY
"<e2>서울</e2><e1>광진구</e1>의 한 식당에서 시작한 인터뷰는 [커피]숍으로 자리를 옮겨 가며 계속됐다.",DUMMY
"<e2>더불어민주당은</e2> <e1>추미애</e1> [대표]와 [우원식] [원내대표] 당 지도부와 [의회_의원] 60여 명이 총출동한다.",DUMMY
"22일 <e2>영국</e2> 맨체스터시 <e1>맨체스터 아레나</e1>에서 자폭 테러로 의심되는 [1993년_세계_무역_센터_폭탄_테러]가 발생하면서 [유럽]이 다시 한번 테러 공포에 떨고 있다.",DUMMY
"[바둑] 인공지능(AI)' <e1>알파고</e1>에 도전장을 던진 [중국]랭킹 1위 <e2>커제</e2> 9단이 초반부터 극단적인 실리작전을 들고 나왔다.",DUMMY
"유골 수습 과정에서 채취한 유전자(DNA) 표본은 신원 확인을 위해 전날 <e1>국립과학수사연구원</e1> <e2>원주</e2> 본원으로 옮겨져 정밀감식에 들어갔다.",DUMMY
